codigo_uf;uf;codigo_do_territorio;territorio;tipo_rural_ou_cidadania;municipio;ibge
32;Espírito Santo;109;Das Montanhas e Águas do Espírito - ES;TR ;Vargem Alta;3205036
32;Espírito Santo;109;Das Montanhas e Águas do Espírito - ES;TR ;Venda Nova do Imigrante;3205069
32;Espírito Santo;109;Das Montanhas e Águas do Espírito - ES;TR ;Viana;3205101
32;Espírito Santo;64;Norte - ES;RC ;Vila Pavão;3205150
32;Espírito Santo;64;Norte - ES;RC ;Vila Valério;3205176
33;Rio de Janeiro;116;Baía de Ilha Gr and e - RJ;TR ;Angra dos Reis;3300100
33;Rio de Janeiro;62;Noroeste - RJ;RC ;Aperibé;3300159
33;Rio de Janeiro;62;Noroeste - RJ;RC ;Bom Jesus do Itabapoana;3300605
33;Rio de Janeiro;62;Noroeste - RJ;RC ;Cambuci;3300902
33;Rio de Janeiro;65;Norte - RJ;RC ;Carapebus;3300936
33;Rio de Janeiro;65;Norte - RJ;RC ;Campos dos Goytacazes;3301009
33;Rio de Janeiro;65;Norte - RJ;RC ;Cardoso Moreira;3301157
33;Rio de Janeiro;65;Norte - RJ;RC ;Conceição de Macabu;3301405
33;Rio de Janeiro;116;Baía de Ilha Gr and e - RJ;TR ;Itaguaí;3302007
33;Rio de Janeiro;62;Noroeste - RJ;RC ;Italva;3302056
33;Rio de Janeiro;62;Noroeste - RJ;RC ;Itaocara;3302106
33;Rio de Janeiro;62;Noroeste - RJ;RC ;Itaperuna;3302205
33;Rio de Janeiro;62;Noroeste - RJ;RC ;Laje do Muriaé;3302304
33;Rio de Janeiro;65;Norte - RJ;RC ;Macaé;3302403
33;Rio de Janeiro;116;Baía de Ilha Gr and e - RJ;TR ;Mangaratiba;3302601
33;Rio de Janeiro;62;Noroeste - RJ;RC ;Miracema;3303005
33;Rio de Janeiro;62;Noroeste - RJ;RC ;Natividade;3303104
33;Rio de Janeiro;116;Baía de Ilha Gr and e - RJ;TR ;Parati;3303807
33;Rio de Janeiro;62;Noroeste - RJ;RC ;Porciúncula;3304102
33;Rio de Janeiro;65;Norte - RJ;RC ;Quissamã;3304151
33;Rio de Janeiro;62;Noroeste - RJ;RC ;Santo Antônio de Pádua;3304706
33;Rio de Janeiro;65;Norte - RJ;RC ;São Francisco de Itabapoana;3304755
33;Rio de Janeiro;65;Norte - RJ;RC ;São Fidélis;3304805
33;Rio de Janeiro;65;Norte - RJ;RC ;São João da Barra;3305000
33;Rio de Janeiro;62;Noroeste - RJ;RC ;São José de Ubá;3305133
33;Rio de Janeiro;116;Baía de Ilha Gr and e - RJ;TR ;Seropédica;3305554
33;Rio de Janeiro;62;Noroeste - RJ;RC ;Varre-Sai;3306156
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Alfredo Marcondes;3500808
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Álvares Machado;3501301
35;São Paulo;12;Andradina - SP;TR ;Andradina;3502101
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Anhumas;3502408
35;São Paulo;151;Noroeste Paulista - SP;TR ;Aparecida d`Oeste;3502606
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Apiaí;3502705
35;São Paulo;151;Noroeste Paulista - SP;TR ;Aspásia;3503950
35;São Paulo;89;Sudoeste Paulista - SP;RC ;Barão de Antonina;3505005
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Barra do Chapéu;3505351
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Barra do Turvo;3505401
35;São Paulo;89;Sudoeste Paulista - SP;RC ;Bom Sucesso de Itararé;3507159
35;São Paulo;89;Sudoeste Paulista - SP;RC ;Buri;3508009
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Caiabu;3508900
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Caiuá;3509106
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Cajati;3509254
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Cananéia;3509908
35;São Paulo;89;Sudoeste Paulista - SP;RC ;Capão Bonito;3510203
35;São Paulo;12;Andradina - SP;TR ;Castilho;3511003
35;São Paulo;89;Sudoeste Paulista - SP;RC ;Coronel Macedo;3512605
35;São Paulo;151;Noroeste Paulista - SP;TR ;Dirce Reis;3513850
35;São Paulo;151;Noroeste Paulista - SP;TR ;Dolcinópolis;3514205
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Eldorado;3514809
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Emilianópolis;3515129
35;São Paulo;151;Noroeste Paulista - SP;TR ;Estrela d`Oeste;3515202
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Estrela do Norte;3515301
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Euclides da Cunha Paulista;3515350
35;São Paulo;151;Noroeste Paulista - SP;TR ;Fernandópolis;3515509
35;São Paulo;89;Sudoeste Paulista - SP;RC ;Guapiara;3517604
35;São Paulo;12;Andradina - SP;TR ;Guaraçaí;3517802
35;São Paulo;151;Noroeste Paulista - SP;TR ;Guarani d`Oeste;3518008
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Iepê;3519907
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Iguape;3520301
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Ilha Comprida;3520426
50;Mato Grosso do Sul;173;Região Norte - MS;NV ;Figueirão;5003900
35;São Paulo;12;Andradina - SP;TR ;Ilha Solteira;3520442
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Indiana;3520608
35;São Paulo;151;Noroeste Paulista - SP;TR ;Indiaporã;3520707
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Iporanga;3521200
35;São Paulo;89;Sudoeste Paulista - SP;RC ;Itaberá;3521705
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Itaóca;3522158
35;São Paulo;89;Sudoeste Paulista - SP;RC ;Itapeva;3522406
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Itapirapuã Paulista;3522653
35;São Paulo;89;Sudoeste Paulista - SP;RC ;Itaporanga;3522802
35;São Paulo;12;Andradina - SP;TR ;Itapura;3523008
35;São Paulo;89;Sudoeste Paulista - SP;RC ;Itararé;3523206
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Itariri;3523305
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Jacupiranga;3524600
35;São Paulo;151;Noroeste Paulista - SP;TR ;Jales;3524808
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;João Ramalho;3525607
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Juquiá;3526100
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Juquitiba;3526209
35;São Paulo;151;Noroeste Paulista - SP;TR ;Macedônia;3528205
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Marabá Paulista;3528700
35;São Paulo;151;Noroeste Paulista - SP;TR ;Marinópolis;3529104
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Martinópolis;3529203
35;São Paulo;151;Noroeste Paulista - SP;TR ;Meridiano;3529609
35;São Paulo;151;Noroeste Paulista - SP;TR ;Mesópolis;3529658
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Miracatu;3529906
35;São Paulo;151;Noroeste Paulista - SP;TR ;Mira Estrela;3530003
35;São Paulo;12;Andradina - SP;TR ;Mirandópolis;3530102
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Mirante do Paranapanema;3530201
35;São Paulo;12;Andradina - SP;TR ;Murutinga do Sul;3532108
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Nantes;3532157
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Narandiba;3532207
35;São Paulo;89;Sudoeste Paulista - SP;RC ;Nova Campina;3532827
35;São Paulo;151;Noroeste Paulista - SP;TR ;Nova Canaã Paulista;3532843
35;São Paulo;12;Andradina - SP;TR ;Nova Independência;3533205
35;São Paulo;151;Noroeste Paulista - SP;TR ;Palmeira d`Oeste;3535200
35;São Paulo;151;Noroeste Paulista - SP;TR ;Paranapuã;3535903
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Pariquera-Açu;3536208
35;São Paulo;151;Noroeste Paulista - SP;TR ;Parisi;3536257
35;São Paulo;151;Noroeste Paulista - SP;TR ;Pedranópolis;3536901
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Pedro de Toledo;3537206
35;São Paulo;12;Andradina - SP;TR ;Pereira Barreto;3537404
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Peruíbe;3537602
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Piquerobi;3538303
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Pirapozinho;3539202
35;São Paulo;151;Noroeste Paulista - SP;TR ;Pontalinda;3540259
35;São Paulo;151;Noroeste Paulista - SP;TR ;Populina;3540408
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Presidente Bernardes;3541208
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Presidente Epitácio;3541307
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Presidente Prudente;3541406
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Presidente Venceslau;3541505
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Rancharia;3542206
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Regente Feijó;3542404
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Registro;3542602
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Ribeira;3542800
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Ribeirão Branco;3543006
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Ribeirão dos Índios;3543238
35;São Paulo;89;Sudoeste Paulista - SP;RC ;Ribeirão Grande;3543253
35;São Paulo;89;Sudoeste Paulista - SP;RC ;Riversul;3543501
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Rosana;3544251
35;São Paulo;151;Noroeste Paulista - SP;TR ;Rubinéia;3544509
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Sandovalina;3545506
35;São Paulo;151;Noroeste Paulista - SP;TR ;Santa Albertina;3545704
35;São Paulo;151;Noroeste Paulista - SP;TR ;Santa Clara d`Oeste;3546108
35;São Paulo;151;Noroeste Paulista - SP;TR ;Santa Fé do Sul;3546603
35;São Paulo;151;Noroeste Paulista - SP;TR ;Santana da Ponte Pensa;3547205
35;São Paulo;151;Noroeste Paulista - SP;TR ;Santa Rita d`Oeste;3547403
35;São Paulo;151;Noroeste Paulista - SP;TR ;Santa Salete;3547650
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Santo Anastácio;3547700
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Santo Expedito;3548302
35;São Paulo;151;Noroeste Paulista - SP;TR ;São Francisco;3549003
35;São Paulo;151;Noroeste Paulista - SP;TR ;São João das Duas Pontes;3549201
